Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned
99999999,SHS25C1SS(GK) BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c1ss gk block,bearings,linear products,linear products,uncoded linear products
99999999,N1H250457-Z,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,n1h250457 z,bearings,linear products,linear products,uncoded linear products
99999999,SRS12MUU+66MM G8/8,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,srs12muu 66mm g8 8,bearings,linear products,linear products,uncoded linear products
99999999,"1"" CLASS L X 36",BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,1 class l x 36,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+580L G=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 580l g 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS65+3000L  RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs65 3000l rail,bearings,linear products,linear products,uncoded linear products
99999999,7832808-P5-715 SCREW & 7832809 NUT,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,7832808 p5 715 screw 7832809 nut,bearings,linear products,linear products,uncoded linear products
99999999,NAH35ANZ-L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,nah35anz l,bearings,linear products,linear products,uncoded linear products
99999999,LAW27-ELZ,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,law27 elz,bearings,linear products,linear products,uncoded linear products
99999999,"SHS65+3000E  RAIL, E=BUTTABLE ENDS",BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs65 3000e rail e buttable ends,bearings,linear products,linear products,uncoded linear products
99999999,LHFR16 FLANGED LINEAR BUSHING,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,lhfr16 flanged linear bushing,bearings,linear products,linear products,uncoded linear products
99999999,SHS65+2400E RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs65 2400e rail,bearings,linear products,linear products,uncoded linear products
99999999,UM9821/DM9821 - DM9821-44,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,um9821 dm9821 dm9821 44,bearings,linear products,linear products,uncoded linear products
99999999,WJ51I3S-10-STDX-STDX-X,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,wj51i3s 10 stdx stdx x,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-920L G+20 RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 920l g 20 rail,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+2500L GK RAIL G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 2500l gk rail g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,N1H25-220L RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,n1h25 220l rail,bearings,linear products,linear products,uncoded linear products
99999999,NAH25EMZ-L2P,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,nah25emz l2p,bearings,linear products,linear products,uncoded linear products
99999999,SHW27CRN1SS,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shw27crn1ss,bearings,linear products,linear products,uncoded linear products
99999999,SHW27-280L(GK) RAIL G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shw27 280l gk rail g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHW27CRN1SS(GK) BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shw27crn1ss gk block,bearings,linear products,linear products,uncoded linear products
99999999,SHW27CRN1SS  BEARING,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shw27crn1ss bearing,bearings,linear products,linear products,uncoded linear products
99999999,JSH35-45-315,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,jsh35 45 315,bearings,linear products,linear products,uncoded linear products
99999999,SMK 35GUU,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,smk 35guu,bearings,linear products,linear products,uncoded linear products
99999999,202430200903600  SHS30-360L RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,202430200903600 shs30 360l rail,bearings,linear products,linear products,uncoded linear products
99999999,JSH35-50-350 (SHS35-35-370),BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,jsh35 50 350 shs35 35 370,bearings,linear products,linear products,uncoded linear products
99999999,JSH35-50-350(SHS35-35-370),BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,jsh35 50 350 shs35 35 370,bearings,linear products,linear products,uncoded linear products
99999999,LMK35,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,lmk35,bearings,linear products,linear products,uncoded linear products
99999999,SHS25 + 460,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 460,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+ 460L RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 460l rail,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+400L G=20/20 RAIL LINEAR,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 400l g 20 20 rail linear,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+425L  G= 32.5/32.5,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 425l g 32 5 32 5,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+460 RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 460 rail,bearings,linear products,linear products,uncoded linear products
99999999,SHS25C1ZZ BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c1zz block,bearings,linear products,linear products,uncoded linear products
99999999,SHS30+ 280L  RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 280l rail,bearings,linear products,linear products,uncoded linear products
99999999,SHS30+ 520L  RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 520l rail,bearings,linear products,linear products,uncoded linear products
99999999,SHS30+400L G40/40 RAIL ASSEMBLY,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 400l g40 40 rail assembly,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-440LGK G=20G=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 440lgk g 20g 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-520L(GK) RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 520l gk rail,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+360L G1=G2=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 360l g1 g2 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+440L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 440l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+600L G1=G2=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 600l g1 g2 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+680L LINEAR RAIL (G1=G2=20),BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 680l linear rail g1 g2 20,bearings,linear products,linear products,uncoded linear products
99999999,JSH35-50-370,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,jsh35 50 370,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-760L(GK) RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 760l gk rail,bearings,linear products,linear products,uncoded linear products
99999999,JSH35-35-245 (SHS35-26-258),BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,jsh35 35 245 shs35 26 258,bearings,linear products,linear products,uncoded linear products
99999999,SH35-44-426 - JSH35-60-420,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,sh35 44 426 jsh35 60 420,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+280L(GK) RAIL G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 280l gk rail g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-39-370 - JSH35-50-350,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 39 370 jsh35 50 350,bearings,linear products,linear products,uncoded linear products
99999999,SHS20V1ZZ+110 G25/25,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs20v1zz 110 g25 25,bearings,linear products,linear products,uncoded linear products
99999999,SHS25C1ZZ+520L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c1zz 520l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25C2ZZ+280L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c2zz 280l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25C2ZZ+400L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c2zz 400l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25C2ZZ+460L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c2zz 460l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25C2ZZ+940L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25c2zz 940l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25V1ZZ+160L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25v1zz 160l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25V1ZZ+220L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25v1zz 220l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25V1ZZ+340L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25v1zz 340l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25V2ZZ+220L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25v2zz 220l,bearings,linear products,linear products,uncoded linear products
99999999,SHS25VZZ+220L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25vzz 220l,bearings,linear products,linear products,uncoded linear products
99999999,SHS30V2ZZ+360L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30v2zz 360l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35+2440L RAIL G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 2440l rail g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+360L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 360l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+520L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 520l,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+680L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 680l,bearings,linear products,linear products,uncoded linear products
99999999,SHS35C2ZZ+680L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35c2zz 680l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35V1ZZ+360L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35v1zz 360l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35V2ZZ+360L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35v2zz 360l,bearings,linear products,linear products,uncoded linear products
99999999,SHS35V2ZZ+360L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35v2zz 360l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35V2ZZ+440L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35v2zz 440l,bearings,linear products,linear products,uncoded linear products
99999999,SHS35V2ZZ+520L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35v2zz 520l,bearings,linear products,linear products,uncoded linear products
99999999,SHS30V2ZZ+440L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30v2zz 440l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35V2ZZ+440L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35v2zz 440l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25-400L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 400l,bearings,linear products,linear products,uncoded linear products
99999999,SHS25-425L G=35.5,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 425l g 35 5,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+400L RAIL G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 400l rail g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS30-360L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 360l,bearings,linear products,linear products,uncoded linear products
99999999,SHS30-2200L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 2200l,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-2440  G=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 2440 g 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS35-2440L G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs35 2440l g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+3200LT 302451023290000,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 3200lt 302451023290000,bearings,linear products,linear products,uncoded linear products
99999999,PMK25-2,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,pmk25 2,bearings,linear products,linear products,uncoded linear products
99999999,PMK25-2 ADAPTER PLATE,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,pmk25 2 adapter plate,bearings,linear products,linear products,uncoded linear products
99999999,UBPS3504BS1 CLAMPING AND BRAKING ELEMENT,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,ubps3504bs1 clamping and braking element,bearings,linear products,linear products,uncoded linear products
99999999,JSH35-40/260,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,jsh35 40 260,bearings,linear products,linear products,uncoded linear products
99999999,C8 CAPS,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,c8 caps,bearings,linear products,linear products,uncoded linear products
99999999,SHS30 1500MM LONG G1=20 G2=40,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 1500mm long g1 20 g2 40,bearings,linear products,linear products,uncoded linear products
99999999,SHS25+1500L G20/40,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs25 1500l g20 40,bearings,linear products,linear products,uncoded linear products
99999999,SHS30-280L GK RAIL   G = 20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 280l gk rail g 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS30-360L GK RAIL  G = 20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 360l gk rail g 20,bearings,linear products,linear products,uncoded linear products
99999999,HSR25+460L RAIL G=20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,hsr25 460l rail g 20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS30+1400L G20/20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 1400l g20 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS30 - 360L GK RAIL G=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 360l gk rail g 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS30 - 440L GK RAIL G=20,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30 440l gk rail g 20,bearings,linear products,linear products,uncoded linear products
99999999,SHS30C1SS (GK) BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs30c1ss gk block,bearings,linear products,linear products,uncoded linear products
99999999,LGBR35 RAIL X 2540MM G=30/30,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,lgbr35 rail x 2540mm g 30 30,bearings,linear products,linear products,uncoded linear products
99999999,R112100582,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,r112100582,bearings,linear products,linear products,uncoded linear products
99999999,HSR65+2020L RAIL G=35/35,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,hsr65 2020l rail g 35 35,bearings,linear products,linear products,uncoded linear products
99999999,HSR65XLC1SSC1 BLOCK,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,hsr65xlc1ssc1 block,bearings,linear products,linear products,uncoded linear products
